,0
0,0.41500000000000026
1,0.3700000000000002
2,0.30000000000000016
3,0.22500000000000012
4,0.2150000000000001
5,0.2150000000000001
6,0.06999999999999999
7,0.06999999999999999
8,0.085
9,0.10000000000000002
10,0.035
11,0.01
12,0.11000000000000003
13,0.085
14,0.06499999999999999
15,0.8250000000000006
16,0.6300000000000004
17,0.7950000000000006
18,0.5550000000000004
19,0.6650000000000005
20,0.49500000000000033
21,0.5000000000000003
22,0.5050000000000003
23,0.4350000000000003
24,0.4550000000000003
25,0.3600000000000002
26,0.42000000000000026
27,0.49500000000000033
28,0.42000000000000026
29,0.6350000000000005
