,0
0,0.4550000000000003
1,0.6450000000000005
2,0.15500000000000005
3,0.04
4,0.5200000000000004
5,0.3750000000000002
6,0.02
7,0.01
8,0.2650000000000001
9,0.2150000000000001
10,0.01
11,0.04
12,0.01
13,0.075
14,0.15000000000000005
15,0.5500000000000004
16,0.8550000000000006
17,0.41000000000000025
18,0.5950000000000004
19,0.4550000000000003
20,0.5000000000000003
21,0.3800000000000002
22,0.40000000000000024
23,0.29000000000000015
24,0.5500000000000004
25,0.42000000000000026
26,0.3500000000000002
27,0.6550000000000005
28,0.5150000000000003
29,0.7250000000000005
