,0
0,0.7900000000000006
1,0.9900000000000008
2,0.6850000000000005
3,0.17000000000000007
4,0.9900000000000008
5,0.9950000000000008
6,0.2550000000000001
7,0.01
8,0.7500000000000006
9,0.8650000000000007
10,0.015
11,0.9200000000000007
12,0.049999999999999996
13,0.5050000000000003
14,0.7700000000000006
15,0.8450000000000006
16,0.9950000000000008
17,0.5500000000000004
18,0.9400000000000007
19,0.6950000000000005
20,0.9350000000000007
21,0.5750000000000004
22,0.6400000000000005
23,0.38500000000000023
24,0.8500000000000006
25,0.5950000000000004
26,0.39000000000000024
27,0.9400000000000007
28,0.7800000000000006
29,0.9650000000000007
