,0
0,0.7900000000000006
1,0.8750000000000007
2,0.5050000000000003
3,0.09500000000000001
4,0.6950000000000005
5,0.7750000000000006
6,0.08
7,0.030000000000000002
8,0.3650000000000002
9,0.3450000000000002
10,0.015
11,0.2550000000000001
12,0.049999999999999996
13,0.1950000000000001
14,0.5350000000000004
15,0.7050000000000005
16,0.8750000000000007
17,0.4650000000000003
18,0.7650000000000006
19,0.6450000000000005
20,0.7300000000000005
21,0.5000000000000003
22,0.5350000000000004
23,0.2500000000000001
24,0.4750000000000003
25,0.4850000000000003
26,0.3450000000000002
27,0.4850000000000003
28,0.31500000000000017
29,0.5900000000000004
