,0
0,0.7650000000000006
1,0.9350000000000007
2,0.7400000000000005
3,0.18500000000000008
4,0.9550000000000007
5,0.9650000000000007
6,0.29000000000000015
7,0.02
8,0.6600000000000005
9,0.6350000000000005
10,0.01
11,0.6200000000000004
12,0.030000000000000002
13,0.39500000000000024
14,0.6100000000000004
15,0.8600000000000007
16,0.9950000000000008
17,0.6050000000000004
18,0.9400000000000007
19,0.8000000000000006
20,0.9600000000000007
21,0.7100000000000005
22,0.7450000000000006
23,0.40500000000000025
24,0.7800000000000006
25,0.5800000000000004
26,0.42000000000000026
27,0.9200000000000007
28,0.8400000000000006
29,0.9400000000000007
